epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,11629.1,0.95486,0.60578,0.00369,0.74756,0.6254,0.70004,0.55422,0.97256,0.82227,0.00593,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11916.4,0.95091,0.60309,0.00366,0.75164,0.62222,0.70167,0.55492,0.97151,0.82096,0.00593,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12201.6,0.94814,0.59723,0.00364,0.75155,0.60962,0.70028,0.55435,0.97137,0.82122,0.00593,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12493.6,0.94662,0.59672,0.00365,0.80864,0.58134,0.70135,0.55608,0.97058,0.82392,0.00592,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12783.2,0.94661,0.5948,0.0036,0.81382,0.58131,0.70096,0.55521,0.97014,0.82414,0.00592,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13072.1,0.94055,0.5897,0.00359,0.7652,0.60587,0.70069,0.5552,0.96978,0.82368,0.00593,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13362.3,0.93731,0.58776,0.00359,0.77203,0.60126,0.70108,0.55494,0.9706,0.82224,0.00594,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13657.2,0.93541,0.58249,0.00359,0.77213,0.6035,0.70031,0.55451,0.97028,0.82466,0.00594,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13957.4,0.93306,0.58174,0.00355,0.76821,0.60371,0.70076,0.55493,0.96988,0.82469,0.00593,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,14258.2,0.93165,0.57911,0.00353,0.77077,0.61368,0.70166,0.55543,0.97058,0.82481,0.00594,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14557.8,0.92618,0.57409,0.00353,0.77441,0.61013,0.7019,0.55548,0.97101,0.82397,0.00595,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14860.5,0.92124,0.56756,0.00349,0.77424,0.60902,0.70221,0.555,0.97022,0.82604,0.00594,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15162,0.91899,0.56764,0.00348,0.76018,0.61587,0.70181,0.5544,0.97022,0.82638,0.00594,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
